country,oecd,Muslim,mrate5,free,free_new,corrup,literacy,gdppc,physicians,hunger,sanitation,f_adlitrate_2000
Afghanistan,0,1,257,5.5,3,2.5,,,,39,34,21
Albania,0,1,18,3,2,2.4,98.7,5316,,14,91,77
Algeria,0,1,39,5.5,3,2.8,69.90000000000001,7062,,10,92,57
Andorra,0,0,3,1,1,,,,,,100,
Angola,0,0,260,5.5,3,2,67.40000000000001,2335,.08,31,31,
Antigua and Barbuda,0,0,12,2,1,,85.8,12500,,,95,83
Argentina,0,0,18,2,1,2.8,97.2,14280,,5,91,97
Armenia,0,0,29,4.5,2,2.9,99.40000000000001,4945,,3,83,98
Aruba,0,0,,,,,,,,,,
Australia,1,0,6,1,1,8.800000000000001,,31794,,,100,
Austria,1,0,5,1,1,8.699999999999999,,33700,,,100,
Azerbaijan,0,1,89,5.5,3,2.2,98.8,5016,,7,54,96
Bahamas,0,0,15,1,1,,,18380,,,100,96
Bahrain,0,1,11,5,2,5.8,86.5,21482,1.09,9,,83
Bangladesh,0,0,73,4,2,1.7,47.5,2053,.26,48,39,30
Barbados,0,0,12,1,1,6.9,,17297,,,100,100
Belarus,0,0,12,6.5,3,2.6,99.59999999999999,7918,,,84,100
Belgium,1,0,5,1,1,7.4,,32119,,,,
Belize,0,0,17,1.5,1,3.7,75.09999999999999,7109,,,47,93
Benin,0,0,150,2,1,2.9,34.7,1141,.04,23,33,24
Bermuda,0,0,,,,,,,,,,
Bhutan,0,0,75,5.5,3,,47,,.05,19,70,34
Bolivia,0,0,65,3,2,2.5,86.7,2819,,8,46,79
Bosnia and Herzegovina,0,1,15,3.5,2,2.9,96.7,7032,,4,95,89
Botswana,0,0,120,2,1,5.9,81.2,12387,.4,13,42,80
Brazil,0,0,33,2.5,1,3.7,88.59999999999999,8402,,6,75,87
British Virgin Islands,0,0,,,,,,,,,,
Brunei Darussalam,0,1,9,5.5,3,,92.7,28161,,,,88
Bulgaria,0,0,15,1.5,1,4,98.2,9032,,,99,98
Burkina Faso,0,1,191,4.5,2,3.4,23.6,1213,.05,38,13,14
Burundi,0,0,190,5,2,2.3,59.3,699,.03,45,36,40
Cambodia,0,0,143,5.5,3,2.3,73.59999999999999,2727,,45,17,57
Cameroon,0,0,149,6,3,2.2,67.90000000000001,2299,.19,18,51,64
Canada,1,0,6,1,1,8.4,,33375,,,100,
Cape Verde,0,0,35,1,1,,81.2,5803,.49,,43,66
Cayman Islands,0,0,,,,,,,,,,
Central African Republic,0,0,193,5.5,3,,48.6,1224,.08,24,27,35
Chad,0,1,208,5.5,3,1.7,25.7,1427,.04,28,9,34
Chile,0,0,10,1,1,7.3,95.7,12027,,1,91,96
China,0,0,27,6.5,3,3.2,90.90000000000001,6757,,8,44,78
"China, Hong Kong Special Administrativ",0,0,,,,,,34833,,,,
"China, Macao Special Administrative Re",0,0,,,,,,,,,,
Colombia,0,0,21,4,2,4,92.8,7304,,7,86,92
Comoros,0,1,71,4,2,,,1993,.15,25,33,49
Congo,0,0,108,4.5,2,2.3,84.7,1262,.2,14,27,74
"Congo, Democratic Republic of the",0,0,205,6,3,2.1,67.2,714,.11,31,30,
Cook Islands,0,0,20,,,,,,,,100,
Costa Rica,0,0,12,1,1,4.2,94.90000000000001,10180,,5,92,96
Côte d'Ivoire,0,1,195,6,3,1.9,48.7,1648,.12,17,37,37
Croatia,0,0,7,2,1,3.4,98.09999999999999,13042,,1,100,97
Cuba,0,0,7,7,3,3.8,99.8,6000,,4,98,97
Cyprus,0,0,5,1,1,5.7,96.8,22699,,,100,95
Czech Republic,1,0,4,1,1,4.3,,20538,,,98,
Denmark,1,0,5,1,1,9.5,,33973,,,,
Djibouti,0,1,133,5,2,,,2178,.18,18,82,54
Dominica,0,0,15,1,1,,88,6393,,,84,
Dominican Republic,0,0,31,2,1,3,87,8217,,5,78,84
Ecuador,0,0,25,3,2,2.5,91,4341,,12,89,90
Egypt,0,1,33,5.5,3,3.4,71.40000000000001,4337,,9,70,44
El Salvador,0,0,27,2.5,1,4.2,80.59999999999999,5255,,10,62,76
Equatorial Guinea,0,0,205,6.5,3,1.9,87,7874,.3,19,53,74
Eritrea,0,1,78,6.5,3,2.6,,1109,.05,40,9,45
Estonia,0,0,7,1,1,6.4,99.8,15478,,,97,100
Ethiopia,0,0,164,5,2,2.2,35.9,1055,,47,13,31
Faeroe Islands,0,0,,,,,,,,,,
Falkland Islands (Malvinas),0,0,,,,,,,,,,
Fiji,0,0,18,3.5,2,4,,6049,,,72,91
Finland,1,0,4,1,1,9.6,,32153,,,100,
France,1,0,5,1,1,7.5,,30386,3.37,,,
French Guiana,0,0,,,,,,,,,,
French Polynesia,0,0,,,,,,,,,,
Gabon,0,0,91,4.5,2,2.9,84,6954,.29,12,36,62
Gambia,0,1,137,4,2,2.7,,1921,,17,53,30
Georgia,0,0,45,3.5,2,2.3,100,3365,,3,94,99
Germany,1,0,5,1,1,8.199999999999999,,29461,,,100,
Ghana,0,0,112,2,1,3.5,57.9,2480,.15,22,18,63
Gibraltar,0,0,,,,,,,,,,
Greece,1,0,5,1.5,1,4.3,96,23381,,,,96
Greenland,0,0,,,,,,,,,,
Grenada,0,0,21,1.5,1,,96,7843,,,96,
Guadeloupe,0,0,,,,,,,,,,
Guatemala,0,0,43,4,2,2.5,69.09999999999999,4568,,23,86,61
Guinea-Bissau,0,1,200,4,2,,,827,.12,25,35,24
Guinea,0,1,150,5.5,3,,29.5,2316,.11,26,18,27
Guyana,0,0,63,2,1,2.5,,4508,,14,70,98
Haiti,0,0,120,6.5,3,1.8,,1663,,17,30,48
Holy See,0,0,,,,,,,,,,
Honduras,0,0,40,3,2,2.6,80,3430,,17,69,75
Hungary,1,0,8,1,1,5,,17887,,,95,99
Iceland,1,0,3,1,1,9.699999999999999,,36510,3.62,,100,
India,0,0,74,2.5,1,2.9,61,3452,.6,47,33,45
Indonesia,0,1,36,3.5,2,2.2,90.40000000000001,3843,,28,55,82
Iran (Islamic Republic of),0,1,36,6,3,2.9,82.40000000000001,7968,.87,11,,
Iraq,0,1,125,6,3,2.2,,,.66,16,79,23
Ireland,1,0,6,1,1,7.4,,38505,2.79,,,
Israel,0,0,6,2,1,6.3,97.09999999999999,25864,,,,93
Italy,1,0,4,1,1,5,98.40000000000001,28529,4.2,,,98
Jamaica,0,0,20,2.5,1,3.6,79.90000000000001,4291,,4,80,91
Japan,1,0,4,1.5,1,7.3,,31267,,,100,
Jordan,0,1,26,4.5,2,5.7,91.09999999999999,5530,2.03,4,93,84
Kazakhstan,0,1,73,5.5,3,2.6,99.5,7857,,4,72,99
Kenya,0,0,120,3,2,2.1,73.59999999999999,1240,,20,43,76
Kiribati,0,0,65,1,1,,,,,,40,
"Korea, Democratic People's Republic of",0,0,55,7,3,,,,,23,59,
"Korea, Republic of",1,0,5,1.5,1,5,,22029,,,,96
Kuwait,0,1,11,4.5,2,4.7,93.3,26321,,10,,80
Kyrgyzstan,0,0,67,5.5,3,2.3,98.7,1927,,11,59,
Lao People's Democratic Republic,0,0,79,6.5,3,3.3,68.7,2039,,40,30,53
Latvia,0,0,11,1.5,1,4.2,99.7,13646,,,78,100
Lebanon,0,1,30,5.5,3,3.1,,5584,,3,98,80
Lesotho,0,0,132,2.5,1,3.4,82.2,3335,,18,37,94
Liberia,0,0,235,4.5,2,2.2,,,.03,26,27,37
Libyan Arab Jamahiriya,0,1,19,7,3,2.5,84.2,10335,,5,97,68
Liechtenstein,0,0,4,1,1,,,,,,,
Lithuania,0,0,9,2,1,4.8,99.59999999999999,14494,,,,100
Luxembourg,1,0,5,1,1,8.5,,60228,,,,
Macedonia (TFYR),0,0,17,3,2,2.7,96.09999999999999,7200,,6,,94
Madagascar,0,0,119,3,2,2.8,70.7,923,.29,42,34,60
Malawi,0,0,125,4,2,2.8,64.09999999999999,667,.02,22,61,47
Malaysia,0,1,12,4,2,5.1,88.7,10882,,11,94,83
Maldives,0,1,42,5.5,3,,96.3,5261,.92,30,59,97
Mali,0,1,218,2,1,2.9,24,1033,.08,33,46,16
Malta,0,0,6,1,1,6.6,87.90000000000001,19189,,,,93
Marshall Islands,0,0,58,1,1,,,,,,82,
Martinique,0,0,,,,,,,,,,
Mauritania,0,1,125,5.5,3,,51.2,2234,.11,32,34,30
Mauritius,0,0,15,1,1,4.2,84.3,12715,1.06,15,94,81
Mexico,1,0,27,2,1,3.5,91.59999999999999,10751,,8,79,89
Micronesia (Federated States of),0,0,42,1,1,,,,,,28,67
Moldova,0,0,16,3.5,2,2.9,99.09999999999999,2100,,3,68,98
Monaco,0,0,5,1.5,1,,,,,,100,
Mongolia,0,0,49,2,1,3,97.8,2107,,13,59,98
Montserrat,0,0,,,,,,,,,,
Morocco,0,1,40,4.5,2,3.2,52.3,4555,.51,10,73,36
Mozambique,0,0,145,3.5,2,2.8,38.7,1242,.03,24,32,29
Myanmar,0,0,105,7,3,1.8,89.90000000000001,1027,.36,32,77,81
Namibia,0,0,62,2.5,1,4.3,85,7586,.3,24,25,81
Nauru,0,0,30,1,1,,,,,,,
Nepal,0,0,74,5,2,2.5,48.6,1550,.21,48,35,24
Netherlands,1,0,5,1,1,8.6,,32684,,,100,
Netherlands Antilles,0,0,,,,,,,,,,
New Caledonia,0,0,,,,,,,,,,
New Zealand,1,0,6,1,1,9.6,,24996,,,,
Nicaragua,0,0,37,3,2,2.6,76.7,3674,,10,47,64
Niger,0,1,256,3,2,2.4,28.7,781,.02,40,13,9
Nigeria,0,1,194,4,2,1.9,69.09999999999999,1128,,29,44,56
Niue,0,0,,,,,,,,,100,83
Norway,1,0,4,1,1,8.9,,41420,,,,
Occupied Palestinian Territories,0,0,23,,,2.6,92.40000000000001,,,4,73,62
Oman,0,1,12,5.5,3,6.3,81.40000000000001,15602,1.32,18,,62
Pakistan,0,1,99,5.5,3,2.1,49.9,2370,.74,38,59,28
Palau,0,0,11,1,1,,,,,,80,
Panama,0,0,24,1.5,1,3.5,91.90000000000001,7605,,8,73,91
Papua New Guinea,0,0,74,3,2,2.3,57.3,2563,,,44,57
Paraguay,0,0,23,3,2,2.1,93.5,4642,,5,80,92
Peru,0,0,27,2.5,1,3.5,87.90000000000001,6039,,7,63,85
Philippines,0,0,33,2.5,1,2.5,92.59999999999999,5137,,28,72,95
Poland,1,0,7,1,1,3.4,,13847,,,,100
Portugal,1,0,5,1,1,6.5,93.8,20410,,,,90
Qatar,0,1,21,5.5,3,5.9,89,27664,,6,100,94
Reunion,0,0,,,,,,,,,,
Romania,0,0,19,2.5,1,3,97.3,9060,,3,,97
Russian Federation,0,0,18,5.5,3,2.4,99.40000000000001,10845,,3,87,99
Rwanda,0,0,203,5.5,3,3.1,64.90000000000001,1206,.05,27,42,60
Saint Helena,0,0,,,,,,,,,,
Saint Kitts and Nevis,0,0,20,1.5,1,,97.8,13307,,,95,
Saint Lucia,0,0,14,1.5,1,,94.8,6707,,,89,
Saint Pierre and Miquelon,0,0,,,,,,,,,,
Saint Vincent and the Grenadines,0,0,20,1.5,1,,88.09999999999999,6568,,,,
Samoa,0,0,29,2,1,,98.59999999999999,6170,,,100,98
San Marino,0,0,3,1,1,,,,,,,
Sao Tome and Principe,0,0,118,2,1,,84.90000000000001,2178,.49,13,25,
Saudi Arabia,0,1,26,7,3,3.4,82.90000000000001,15711,1.37,14,,67
Senegal,0,1,136,2.5,1,3.2,39.3,1792,.06,17,57,28
Serbia and Montenegro,0,0,15,2.5,1,2.8,,,,2,87,97
Seychelles,0,0,13,3,2,4,91.8,16106,1.51,,,
Sierra Leone,0,1,282,3.5,2,2.4,34.8,806,.03,27,39,23
Singapore,0,0,3,4.5,2,9.4,92.5,29663,,3,100,88
Slovakia,1,0,8,1,1,4.3,,15871,,,99,100
Slovenia,0,0,4,1,1,6.1,99.7,22273,,,,100
Solomon Islands,0,0,29,3,2,,76.59999999999999,2031,,,31,
Somalia,0,1,225,6.5,3,2.1,,,,26,26,
South Africa,0,0,68,1.5,1,4.5,82.40000000000001,11110,.77,12,65,85
Spain,1,0,5,1,1,7,,27169,,,100,97
Sri Lanka,0,0,14,3,2,3.2,90.7,4595,.55,29,91,89
Sudan,0,1,90,7,3,2.1,60.9,2083,.22,41,34,46
Suriname,0,0,39,1.5,1,3.2,89.59999999999999,7722,,13,94,93
Swaziland,0,0,160,6,3,2.7,79.59999999999999,4824,.16,10,48,79
Sweden,1,0,4,1,1,9.199999999999999,,32525,,,100,
Switzerland,1,0,5,1,1,9.1,,35633,,,100,
Syrian Arab Republic,0,1,15,7,3,3.4,80.8,3808,,7,90,60
Tajikistan,0,1,71,5.5,3,2.1,99.5,1356,,,51,99
"Tanzania, United Republic of",0,1,122,3.5,2,2.9,69.40000000000001,744,,22,47,67
Thailand,0,0,21,2.5,1,3.8,92.59999999999999,8677,,18,99,94
Timor-Leste,0,0,61,3,2,,50.1,,.1,46,36,
Togo,0,0,139,5.5,3,,53.2,1506,.04,25,35,43
Tonga,0,0,24,4,2,,98.90000000000001,8177,,,96,
Trinidad and Tobago,0,0,19,3,2,3.8,98.40000000000001,14603,,6,100,98
Tunisia,0,1,24,5.5,3,4.9,74.3,8371,1.34,4,85,61
Turkey,1,1,29,3,2,3.5,87.40000000000001,8407,,4,88,77
Turkmenistan,0,1,104,7,3,1.8,98.8,3838,,12,62,
Tuvalu,0,0,38,1,1,,,,,,90,
Uganda,0,0,136,4.5,2,2.5,66.8,1454,.08,23,43,57
Ukraine,0,0,17,3.5,2,2.6,99.40000000000001,6848,,1,96,100
United Arab Emirates,0,1,9,6,3,6.2,88.7,25514,,14,98,79
United Kingdom,1,0,6,1,1,8.6,,33238,,,,
United Republic of Tanzania,0,0,,,,,,,,,,
United States,1,0,7,1,1,7.6,,41890,,2,100,
Uruguay,0,0,15,1,1,5.9,96.8,9962,,5,100,98
Uzbekistan,0,1,68,6.5,3,2.2,,2063,,8,67,99
Vanuatu,0,0,38,2,1,,74,3225,,,50,
Venezuela,0,0,21,3.5,2,2.3,93,6632,,4,68,92
Viet Nam,0,0,19,6.5,3,2.6,90.3,3071,,28,61,91
Western Sahara,0,0,,,,,,,,,,
Yemen,0,1,102,5,2,2.7,54.1,930,.33,46,43,25
Zambia,0,0,182,4,2,2.6,68,1023,.12,23,55,72
Zimbabwe,0,0,132,6.5,3,2.6,89.40000000000001,2038,.16,13,53,85
